ID,Gene,In_Degree,Out_Degree,Betweenness,Closeness_Out,Closeness_In,PageRank
126,YBR103W,1,0,0.0,0.0005957108816521049,0.0,0.0003806353683420605
127,YBR104W,2,0,0.0,0.005013048905026666,0.0,0.00039781206285911
128,YBR105C,14,0,0.0,0.008633491038436303,0.0,0.0004939070665999838
129,YBR106W,8,0,0.0,0.007148530579825259,0.0,0.0003881462372622309
130,YBR109C,4,0,0.0,0.005350946866769784,0.0,0.0003959077260279705
131,YBR110W,1,0,0.0,0.004801997049812776,0.0,0.0003806733812926985
132,YBR111C,1,0,0.0,0.004801997049812776,0.0,0.0003806733812926985
133,YBR115C,1,0,0.0,0.004829594734007103,0.0,0.0003808133825384959
134,YBR118W,8,0,0.0,0.005778997280188702,0.0,0.00039600609326122504
135,YBR121C,5,0,0.0,0.0020424373085215024,0.0,0.0003842839628902851
136,YBR122C,6,0,0.0,0.006565230341540905,0.0,0.00039408537806227947
137,YBR126C,10,0,0.0,0.0038125496425734716,0.0,0.0004010754400892722
138,YBR127C,5,0,0.0,0.006945037055514346,0.0,0.00039260448136035117
139,YBR129C,3,0,0.0,0.0071990340071714865,0.0,0.0003973445624695825
140,YBR130C,1,0,0.0,0.0003971405877680699,0.0,0.00038157761046733437
141,YBR135W,10,0,0.0,0.006112205140738165,0.0,0.00040145160108763083
142,YBR137W,17,0,0.0,0.009069657813337467,0.0,0.0005779057049907717
143,YBR139W,4,0,0.0,0.005191026972660748,0.0,0.00038788563896713406
144,YBR143C,9,0,0.0,0.007562081935682918,0.0,0.00038596080505325585
145,YBR145W,3,0,0.0,0.007569032378638509,0.0,0.00040188273490287656
146,YBR146W,3,0,0.0,0.006318417170806285,0.0,0.0003818499157765635
147,YBR147W,1,0,0.0,0.004829594734007103,0.0,0.0003808133825384959
148,YBR149W,19,0,0.0,0.009025922449274316,0.0,0.0004444955704539287
149,YBR151W,6,0,0.0,0.005032032836630155,0.0,0.00038449084601639385
150,YBR153W,1,0,0.0,0.004801997049812776,0.0,0.0003806733812926985
151,YBR154C,4,0,0.0,0.005130313206898634,0.0,0.00038256674564969215
152,YBR158W,16,0,0.0,0.010245694089801749,0.0,0.0004526332436589819
153,YBR159W,3,0,0.0,0.0011914217633042098,0.0,0.000392059956144182
154,YBR160W,5,0,0.0,0.00561357002587505,0.0,0.0003846605341879254
155,YBR162C,19,0,0.0,0.00800746254871899,0.0,0.0004098032333623849
156,YBR165W,2,0,0.0,0.005187342492081703,0.0,0.0003817379760520835
157,YBR166C,17,0,0.0,0.010904345852717576,0.0,0.0005684050530207386
158,YBR167C,1,0,0.0,0.005959925416434297,0.0,0.0003811242351105208
159,YBR169C,7,0,0.0,0.006092246933192128,0.0,0.0004373963334066413
160,YBR171W,3,0,0.0,0.004118702152017213,0.0,0.00038222659325143555
161,YBR172C,6,0,0.0,0.005228639509815046,0.0,0.00038616305748576937
162,YBR173C,2,0,0.0,0.0048575114665736175,0.0,0.00038100620307678404
163,YBR177C,10,0,0.0,0.007903455480897896,0.0,0.00039547982126301784
164,YBR181C,5,0,0.0,0.0020424373085215024,0.0,0.00038814932641346094
165,YBR182C,0,3,0.0,0.0,0.0011914217633042098,0.0003802805224107413
166,YBR183W,11,0,0.0,0.009767075430881393,0.0,0.00040411960396831924
167,YBR185C,1,0,0.0,0.005959925416434297,0.0,0.0003811242351105208
168,YBR189W,3,0,0.0,0.0012410643367752184,0.0,0.00038204909523488137
169,YBR191W,3,0,0.0,0.0012410643367752184,0.0,0.00038204909523488137
170,YBR196C,5,0,0.0,0.0020424373085215024,0.0,0.00039207512961054964
171,YBR199W,5,0,0.0,0.00544896620111594,0.0,0.0003943069733119345
172,YBR202W,3,0,0.0,0.005541496573507952,0.0,0.0003943300429531718
173,YBR207W,8,0,0.0,0.007700963320502637,0.0,0.0004167222933273017
174,YBR208C,5,0,0.0,0.005316870050785857,0.0,0.0004479884985498821
175,YBR212W,5,0,0.0,0.005253194960357284,0.0,0.00038823017693817195
176,YBR214W,5,0,0.0,0.0051695588373877575,0.0,0.0003899248169968654
177,YBR218C,1,0,0.0,0.004829594734007103,0.0,0.0003808133825384959
178,YBR221C,6,0,0.0,0.006888110522272424,0.0,0.0003836224846468474
179,YBR222C,4,0,0.0,0.006637294353582383,0.0,0.0005536895482638832
180,YBR230C,13,0,0.0,0.008220125441647722,0.0,0.0004136642760929291
181,YBR234C,3,0,0.0,0.005219562010666061,0.0,0.00038153906320453874
182,YBR236C,1,0,0.0,0.004829594734007103,0.0,0.0003808133825384959
183,YBR239C,0,4,0.0,0.0,0.00627064085949584,0.0003802805224107413
184,YBR241C,3,0,0.0,0.0049845656726117404,0.0,0.00038622167874051194
185,YBR242W,1,0,0.0,0.004829594734007103,0.0,0.0003808133825384959
186,YBR243C,1,0,0.0,0.0003971405877680699,0.0,0.000381513251136282
187,YBR244W,23,0,0.0,0.010726341767842958,0.0,0.0005514923786338378
188,YBR247C,2,0,0.0,0.004217709415286858,0.0,0.0003845658280171448
189,YBR248C,3,0,0.0,0.006092246933192128,0.0,0.00038755099905922176
190,YBR249C,8,0,0.0,0.007148530579825259,0.0,0.00038723258911784283
191,YBR251W,2,0,0.0,0.005100485804532944,0.0,0.0003948148329655285
192,YBR252W,7,0,0.0,0.0056598939250301055,0.0,0.00038588789942981477
193,YBR254C,1,0,0.0,0.004829594734007103,0.0,0.0003808133825384959
194,YBR256C,3,0,0.0,0.005002080260221643,0.0,0.0003830572985598103
195,YBR262C,5,0,0.0,0.006888110522272424,0.0,0.0003833073694179057
196,YBR263W,8,0,0.0,0.005718824463860207,0.0,0.0004104370522709966
197,YBR265W,1,0,0.0,0.0048795430579012,0.0,0.00038975703621873815
198,YBR268W,5,0,0.0,0.006414881555093403,0.0,0.0003834928013985652
199,YBR269C,10,0,0.0,0.007500097657521583,0.0,0.00039128849718104676
200,YBR272C,1,0,0.0,0.004801997049812776,0.0,0.0003806733812926985
201,YBR282W,4,0,0.0,0.006498396728738269,0.0,0.00038253857131958466
202,YBR283C,2,0,0.0,0.0049845656726117404,0.0,0.00038313883874377993
203,YBR286W,5,0,0.0,0.005041859530917623,0.0,0.00038598499298942725
204,YBR287W,4,0,0.0,0.00494323225716021,0.0,0.00038413626724643124
205,YBR290W,1,0,0.0,0.0039268667463422235,0.0,0.0003812051159243288
206,YBR291C,6,0,0.0,0.007018268467037332,0.0,0.00038394503622896575
207,YBR294W,3,0,0.0,0.008348927271666598,0.0,0.00040507570865412997
208,YBR296C,8,0,0.0,0.0086126874455726,0.0,0.0005016407063762535
209,YBR297W,0,5,0.0,0.0,0.0019857029388403494,0.0003802805224107413
210,YBR298C,2,0,0.0,0.0054568148293327005,0.0,0.000382060162715152
211,YCL001W,2,0,0.0,0.0009077499148984454,0.0,0.00038186809706760124
212,YCL002C,2,0,0.0,0.004914324466182666,0.0,0.00038159797480628605
213,YCL005W,1,0,0.0,0.0039268667463422235,0.0,0.0003812051159243288
214,YCL009C,8,0,0.0,0.007320095313741065,0.0,0.0003859431183794692
215,YCL011C,8,0,0.0,0.006092246933192128,0.0,0.0003964730721156313
216,YCL012C,1,0,0.0,0.004801997049812776,0.0,0.0003806733812926985
217,YCL017C,3,0,0.0,0.0012708498808578236,0.0,0.0003813139876915547
218,YCL018W,6,0,0.0,0.006089489012443738,0.0,0.00039639378180044273
219,YCL028W,9,0,0.0,0.007250277341980714,0.0,0.00038600341739997195
220,YCL030C,6,0,0.0,0.006224570845017912,0.0,0.00040660114645435855
221,YCL034W,2,0,0.0,0.004829594734007103,0.0,0.00038101917885810716
222,YCL035C,14,0,0.0,0.007942811755361398,0.0,0.0004017050719380267
223,YCL037C,2,0,0.0,0.0008935663224781574,0.0,0.0003812890239565249
224,YCL038C,3,0,0.0,0.004972482152172993,0.0,0.00038307932270704396
225,YCL040W,10,0,0.0,0.00670845587446064,0.0,0.00040345033660360173
226,YCL043C,9,0,0.0,0.007018268467037332,0.0,0.0004497587305916692
227,YCL045C,1,0,0.0,0.003837212254416602,0.0,0.0003841295463680688
228,YCL047C,1,0,0.0,0.0005957108816521049,0.0,0.00038615806138222856
229,YCL050C,3,0,0.0,0.004885752812309511,0.0,0.0003819011324296709
230,YCL054W,3,0,0.0,0.004099455880278815,0.0,0.00038438606128838535
231,YCL056C,2,0,0.0,0.005492480285733567,0.0,0.00039427486865704003
232,YCL057W,4,0,0.0,0.005160491519880391,0.0,0.0003919642809263227
233,YCL059C,7,0,0.0,0.005886015748340344,0.0,0.0003926269376400398
234,YCL063W,3,0,0.0,0.005130313206898634,0.0,0.0003863810738307797
235,YCR002C,6,0,0.0,0.007911829156315662,0.0,0.00039313884563771487
236,YCR004C,3,0,0.0,0.006271264803859969,0.0,0.00038187193992379715
237,YCR005C,11,0,0.0,0.007879773566826783,0.0,0.000499739527931151
238,YCR009C,4,0,0.0,0.00494323225716021,0.0,0.0003826711128460194
239,YCR010C,6,0,0.0,0.004668428133763434,0.0,0.0004160532517523993
240,YCR011C,1,0,0.0,0.0005295207836907598,0.0,0.00038061334419482685
241,YCR012W,7,0,0.0,0.005696646482984847,0.0,0.00039764186972549454
242,YCR017C,1,0,0.0,0.0003971405877680699,0.0,0.0003806263199761499
243,YCR021C,9,0,0.0,0.008853713579686574,0.0,0.0003973036909407874
244,YCR023C,1,0,0.0,0.004829594734007103,0.0,0.0003808133825384959
245,YCR028C,1,0,0.0,0.004721064515265371,0.0,0.00039388200977508284
246,YCR030C,1,0,0.0,0.004801997049812776,0.0,0.0003806733812926985
247,YCR031C,5,0,0.0,0.0019459888800635423,0.0,0.0003990827043506748
248,YCR034W,9,0,0.0,0.004918869851355952,0.0,0.00039928785440816565
249,YCR037C,2,0,0.0,0.00600249631226597,0.0,0.0003814700326759294
250,YCR046C,1,0,0.0,0.005959925416434297,0.0,0.0003811242351105208
251,YCR053W,2,0,0.0,0.004914324466182666,0.0,0.00038116822846981515
252,YCR057C,1,0,0.0,0.004721064515265371,0.0,0.0003819884549921765
253,YCR059C,1,0,0.0,0.0003971405877680699,0.0,0.0004161666253098153
254,YCR061W,7,0,0.0,0.005352544482275388,0.0,0.0003962732610828239
255,YCR065W,3,8,2.287857974825989e-06,0.0011914217633042098,0.003177124702144559,0.00038676631554091623
256,YCR069W,4,0,0.0,0.005639929420921046,0.0,0.0003843261028837
257,YCR079W,4,0,0.0,0.0068321096237173645,0.0,0.00039290567582297097
258,YCR084C,0,56,0.0,0.0,0.034861222489700715,0.0003802805224107413
259,YCR088W,4,0,0.0,0.009404397183813954,0.0,0.0004017287448298231
260,YCR093W,3,0,0.0,0.00764087610301718,0.0,0.00038763260051255467
261,YCR094W,1,0,0.0,0.0003971405877680699,0.0,0.0003881579596324893
262,YCR095C,1,0,0.0,0.0003971405877680699,0.0,0.0003881579596324893
263,YDL001W,2,0,0.0,0.003987652538089393,0.0,0.0003920069835898167
264,YDL004W,3,0,0.0,0.006398684714808624,0.0,0.00038594911306010914
265,YDL006W,1,0,0.0,0.0005295207836907598,0.0,0.00038061334419482685
266,YDL007W,2,0,0.0,0.005013048905026666,0.0,0.0003840912524549378
267,YDL010W,2,0,0.0,0.0007942811755361397,0.0,0.00038251506223399594
268,YDL012C,2,0,0.0,0.003963912659043565,0.0,0.0003815379377084144
269,YDL014W,5,0,0.0,0.006398684714808624,0.0,0.0003849255907618049
270,YDL015C,3,0,0.0,0.004885752812309511,0.0,0.0003836238153588464
271,YDL018C,3,0,0.0,0.0051695588373877575,0.0,0.00038379485227608523
272,YDL019C,1,0,0.0,0.0005295207836907598,0.0,0.00038061334419482685
273,YDL020C,5,836,0.004683343075075169,0.0062341836451964465,0.3661446316292191,0.0003865247836229956
274,YDL021W,4,0,0.0,0.005160491519880391,0.0,0.0003861485092634036
275,YDL022W,13,0,0.0,0.007562081935682918,0.0,0.0004725514715884211
276,YDL025C,3,0,0.0,0.005041859530917623,0.0,0.00038988823216043613
277,YDL029W,2,0,0.0,0.0048575114665736175,0.0,0.00038100620307678404
278,YDL040C,1,0,0.0,0.0003971405877680699,0.0,0.0003806263199761499
279,YDL045C,5,0,0.0,0.007801174203080478,0.0,0.00038886326088917336
280,YDL046W,7,0,0.0,0.006748335064458972,0.0,0.0003841734692156242
281,YDL048C,11,0,0.0,0.0067958070314786175,0.0,0.000494451166852982
282,YDL049C,2,0,0.0,0.0007942811755361397,0.0,0.00039790878348397067
283,YDL051W,2,0,0.0,0.006772292128255508,0.0,0.00039380525933745944
284,YDL052C,4,0,0.0,0.0036895641702323913,0.0,0.0004534717984866093
285,YDL053C,2,0,0.0,0.0048575114665736175,0.0,0.00038100620307678404
286,YDL054C,1,0,0.0,0.004829594734007103,0.0,0.0003808133825384959
287,YDL055C,16,0,0.0,0.010139759687695402,0.0,0.0004255647713420588
288,YDL056W,0,171,0.0,0.0,0.07407051395557085,0.0003802805224107413
289,YDL061C,5,0,0.0,0.007840742912710726,0.0,0.0004008351501249076
