"ORF","MEAN","MEDIAN","STD","IQR","STD.MeanNormalized","STD.MedianNormalized","IQR.MedianNormalized","FractionOutliers"
"YKL081W",2414.03898635478,2211,833.93419664398,675.75,0.345451834604887,0.377175122860235,0.305630936227951,0.132553606237817
"YNL301C",709.543859649123,680,281.054868599205,218.5,0.396106406640162,0.413315983234125,0.321323529411765,0.156140350877193
"YOL039W",5623.55948553055,4623,2172.39939339163,3676,0.386303265570717,0.469911181784908,0.795154661475233,0
"YGL147C",3857.90708661417,4011,1260.3842688445,2202.25,0.326701561377067,0.314231929405261,0.549052605335328,0
"YDL229W",3196.01196808511,3176,528.887337931185,625.5,0.165483528601449,0.166526239902766,0.196945843828715,0.0246010638297872
"YER131W",2070.84698608964,1868.5,661.785263714244,501.5,0.319572265918056,0.354179964524616,0.268397109981268,0.152241112828439
"YML063W",3316.31190269331,3159,889.524864391798,601.5,0.268227142226694,0.281584319212345,0.190408357075024,0.0903562119895743
"YOR167C",1773.83173076923,1710,423.053804172833,369,0.238497145379947,0.247399885481189,0.215789473684211,0.0721153846153846
"YGR027C",3386.94426919033,3354,537.041684206187,540,0.15856230322165,0.160119762732912,0.161001788908766,0.0347003154574132
"YDR382W",2352.76504297994,2259.5,763.946924274919,445.5,0.324701748929135,0.338104414372613,0.197167514936933,0.0830945558739255
"YLL024C",5982.19494047619,6385.5,3043.69160958218,1709.5,0.508791779583815,0.476656739422469,0.26771591887871,0.191220238095238
"YLR406C",1127.42391947898,932,501.552862595044,674,0.444866260090372,0.538146848277944,0.723175965665236,0.00710479573712256
"YMR020W",37.3702865761689,35,10.2770375766451,12,0.27500558647572,0.293629645047001,0.342857142857143,0.0316742081447964
"YGR078C",170.466240227434,138,68.6784731834714,113,0.402886067598143,0.497670095532402,0.818840579710145,0
"YCR052W",34.9303135888502,34,7.37208694129938,8.75,0.211051267047673,0.216826086508805,0.257352941176471,0.0348432055749129
"YOL098C",91.0237489397795,91,13.2076704777168,16,0.145101367846921,0.145139236018866,0.175824175824176,0.0144189991518236
"YLR172C",335.593913043478,313,96.7483944781982,64,0.28829007534968,0.309100301847279,0.204472843450479,0.117391304347826
"YPR133C",33.6212765957447,33,6.47935810367512,8,0.192716004855544,0.196344184959852,0.242424242424242,0.0223404255319149
"YMR300C",156.736893203883,153,35.1635039462051,32,0.224347332829064,0.229826823177811,0.209150326797386,0.0378640776699029
"YGL044C",40.0052401746725,38,9.270788799456,10,0.231739361118131,0.243968126301474,0.263157894736842,0.0524017467248908
"YOR262W",53.1340893929286,53,7.54559120393072,10,0.142010360771044,0.142369645357183,0.188679245283019,0.00800533689126084
"YNL241C",445.457831325301,394,181.474903966905,244,0.407389636471294,0.460596202961689,0.619289340101523,0.00516351118760757
"YDR127W",282.174166666667,244,109.237430304155,121.25,0.387127679314448,0.447694386492438,0.496926229508197,0.0416666666666667
"YNL247W",320.791377983064,305,86.3288069813184,70.5,0.269111992735279,0.283045268791208,0.231147540983607,0.0877598152424942
"YLR089C",46.4384384384384,41,19.9493839454649,18,0.429587742747012,0.486570340133289,0.439024390243902,0.0600600600600601
"YLR287C",72.878431372549,73,9.29304149172745,12,0.127514290808787,0.127301938242842,0.164383561643836,0.0130718954248366
"YKL148C",35.8058103975535,34,11.4969366812878,12,0.321091369072137,0.338145196508465,0.352941176470588,0.0336391437308868
"YNR051C",83.0414610069102,82,14.4305019318679,13,0.173774663365654,0.175981730876437,0.158536585365854,0.0424481737413623
"YMR092C",253.816489361702,268,93.1683375145347,169,0.367069679944099,0.347643050427368,0.630597014925373,0
"YDL168W",187.322222222222,186,39.7013628005071,38,0.21194155359426,0.2134481870995,0.204301075268817,0.037962962962963
