Node 1,Node 2,Weight
1422,199,1
1424,199,-1
1787,199,1
1838,199,1
2020,199,1
273,200,1
273,201,1
1422,201,1
1688,201,1
1787,201,1
273,202,1
1096,202,1
474,203,1
1330,203,1
1711,203,1
1787,203,1
2020,203,1
273,204,1
1330,204,1
1787,204,1
1923,204,1
1424,205,1
613,206,1
1330,206,1
1422,206,1
1424,206,1
1688,206,1
2020,206,1
489,207,1
568,207,1
1422,207,1
396,208,1
489,208,1
775,208,1
1077,208,1
1455,208,1
1779,208,1
1923,208,1
2020,208,1
1403,210,1
1787,210,1
707,211,1
2020,211,1
273,212,1
1424,212,1
1424,213,1
273,214,1
613,214,1
707,214,1
1077,214,1
1330,214,-1
1422,214,1
1688,214,1
2020,214,1
273,215,1
613,215,1
1212,215,1
1330,215,1
1424,215,1
2020,215,1
2133,215,1
2226,215,1
273,216,1
1330,217,1
1787,217,1
2020,217,1
613,218,1
1403,218,1
1707,218,1
1787,218,1
2020,218,1
2226,218,1
273,219,1
613,219,1
1077,219,1
1194,219,1
1330,219,1
1422,219,1
1625,219,1
1787,219,1
2020,219,1
314,220,1
613,220,1
667,220,1
1194,220,1
1511,220,1
1787,220,1
273,221,1
1787,221,1
273,222,1
474,222,1
797,222,1
826,222,1
1330,222,1
1422,222,1
1424,222,-1
1625,222,1
1688,222,-1
1711,222,1
1787,222,1
1838,222,1
2226,222,1
2485,222,1
1330,223,1
1688,223,1
613,224,1
2020,224,-1
2226,224,1
1194,225,1
1403,225,1
1625,225,-1
1787,225,1
1838,225,1
1923,225,1
2016,225,-1
2020,225,1
2348,225,1
2485,225,1
436,226,1
756,226,1
826,226,-1
1077,226,1
1246,226,1
1330,226,1
1422,226,-1
2020,226,1
2133,226,1
797,227,1
1996,228,1
273,229,1
826,229,1
2020,229,1
105,230,1
1330,230,1
2020,230,1
273,231,1
1029,231,1
273,232,1
467,232,1
1330,232,1
2348,232,1
613,233,1
667,233,1
826,233,1
1096,233,1
1424,233,1
1688,233,1
1946,233,1
444,234,-1
613,234,1
1793,234,1
273,235,1
707,235,1
1177,235,1
1587,235,-1
2020,235,1
2226,235,-1
273,236,1
1422,236,1
2020,236,1
273,237,1
436,237,1
472,237,1
489,237,1
1194,237,1
1403,237,1
1787,237,1
1889,237,1
1923,237,1
2121,237,1
2485,237,1
273,238,1
1077,238,1
1787,238,1
2020,238,1
24,239,1
436,239,1
467,239,1
474,239,1
1390,239,1
1889,239,1
1330,240,1
273,241,1
613,241,1
826,241,1
1967,241,1
2020,241,1
2226,241,1
2348,241,1
1787,242,1
273,243,-1
826,243,1
1077,243,1
1131,243,1
1177,243,1
1403,243,1
1422,243,1
1777,243,1
1787,243,1
613,244,1
1029,245,1
273,246,1
1194,247,-1
1213,247,1
1625,247,1
1688,247,1
2020,247,1
288,248,1
707,248,1
1001,248,1
1194,248,1
1424,248,1
1625,248,1
1688,248,1
1787,248,1
2020,248,1
1422,249,1
1787,249,1
1422,250,1
613,251,1
2020,251,1
1711,252,1
2437,253,1
120,254,1
273,254,1
467,254,1
1077,254,1
1424,254,-1
1787,254,1
2226,254,1
288,255,1
667,255,1
707,255,1
1403,256,1
1787,256,1
2020,256,1
2226,256,1
273,257,1
613,257,1
753,257,1
1787,257,1
1077,259,1
1177,259,1
1330,259,1
2303,259,1
273,260,1
1177,260,1
1330,260,1
2335,261,1
2016,262,1
797,263,1
2016,263,1
288,264,1
1422,264,1
2168,264,1
1330,265,1
105,266,1
273,266,1
288,267,1
1787,267,1
1330,268,1
1424,268,1
826,269,-1
1403,269,1
1424,269,1
1625,269,1
1688,269,1
273,270,1
1787,270,1
1838,270,1
273,271,1
288,271,1
707,271,1
1330,272,1
797,273,1
826,273,1
1330,273,1
1422,273,-1
1787,273,1
613,274,1
1777,274,1
2020,274,1
2168,274,1
613,275,1
775,275,1
826,275,1
1194,275,1
1403,275,1
1711,275,-1
1787,275,1
1838,275,1
1923,275,1
1996,275,1
2020,275,1
2137,275,1
2168,275,1
613,276,1
1383,276,1
1787,276,1
273,277,1
1330,277,1
1787,278,1
273,279,1
1177,279,1
1194,279,1
1330,279,1
1787,279,1
273,280,1
1194,280,1
1330,280,1
1422,280,1
1625,280,1
1787,280,1
2020,280,1
288,281,-1
436,281,1
489,281,1
707,281,1
740,281,1
1603,281,-1
1711,281,1
1777,281,1
1787,281,1
2226,281,1
2485,281,1
1001,282,1
1116,282,1
1330,283,1
2303,283,1
444,284,-1
1222,284,1
1330,284,1
1834,284,-1
273,285,1
1330,285,1
613,286,1
288,287,1
444,287,1
489,287,1
707,287,1
832,287,1
1077,287,1
1131,287,1
1194,287,1
1422,287,-1
1587,287,1
1787,287,1
1793,287,-1
1946,287,1
2020,287,1
2226,287,1
2348,287,1
1194,289,1
1396,289,1
1625,289,1
1688,289,1
2020,289,1
105,290,1
273,290,-1
1422,290,1
1424,290,1
1711,290,1
1787,290,1
1946,290,1
2020,290,1
2226,290,1
1194,291,1
1787,291,1
2020,291,1
273,292,1
288,292,1
613,292,1
667,292,1
707,292,1
826,292,1
1116,292,-1
1330,292,1
1403,292,1
1422,292,1
1424,292,1
1688,292,-1
1711,292,-1
1787,292,1
2020,292,1
2133,292,1
613,293,1
883,293,1
1422,293,1
2020,293,1
273,294,1
826,294,1
1330,294,1
1424,294,1
2020,294,1
2226,294,1
273,295,1
1787,295,1
2485,295,1
1330,296,1
1403,296,1
436,297,1
1131,297,1
1625,297,1
2016,297,1
2133,297,1
2169,297,1
2392,297,1
459,298,1
613,298,1
707,298,1
826,298,1
1077,298,1
1625,298,-1
1688,298,1
1787,298,1
1838,298,1
2133,298,1
24,299,1
273,299,1
613,299,1
797,299,1
1194,299,1
1330,299,1
1422,299,1
1424,299,1
1625,299,-1
1787,299,1
2020,299,1
2312,299,1
2355,299,-1
1625,300,1
1688,300,1
1787,300,1
2020,300,1
797,301,1
1625,301,1
1688,301,1
1946,301,1
2020,301,1
2485,301,1
797,302,1
1213,302,1
1330,302,1
1625,302,1
1688,302,1
2020,302,1
2485,302,1
105,303,1
444,303,-1
883,303,1
1422,303,-1
2016,303,-1
2348,303,1
273,304,1
613,304,1
1330,304,1
1422,304,1
1424,304,1
2020,304,1
1077,305,1
1787,305,1
1212,306,1
667,307,1
826,307,1
273,308,1
1330,308,1
2312,308,1
273,309,1
288,309,1
707,309,1
1330,309,1
1424,309,1
273,310,1
1330,310,1
273,311,1
273,312,1
1330,312,1
2020,312,1
273,313,1
288,313,1
1330,313,1
2020,313,1
273,315,1
474,315,1
797,315,1
826,315,1
1177,315,1
1194,315,1
1688,315,-1
1787,315,1
1946,315,1
2020,315,1
1330,316,1
1787,316,1
1787,317,1
444,318,1
613,318,1
832,318,-1
1330,318,1
1455,318,1
1587,318,1
1793,318,1
613,319,1
1330,319,1
1422,319,1
1330,320,1
2104,320,1
2303,320,1
2348,320,-1
1424,321,1
1787,321,1
2020,321,1
48,322,1
474,322,1
613,322,1
826,322,1
1194,322,1
1330,322,1
1787,322,1
2020,322,1
273,323,1
489,323,1
613,323,1
826,323,1
1330,323,1
1403,323,1
1422,323,1
1636,323,1
1711,323,1
1787,323,1
1838,323,1
2485,323,1
273,324,1
489,324,1
613,324,1
826,324,1
1422,324,1
1625,324,1
1688,324,1
1787,324,1
1838,324,1
2020,324,1
2133,324,1
273,325,1
707,325,-1
1330,325,1
1390,325,1
1688,325,-1
1787,325,1
2020,325,1
444,326,1
1587,326,-1
48,327,-1
273,327,1
444,327,1
613,327,1
667,327,1
707,327,1
1077,327,1
1194,327,1
1256,327,1
1330,327,1
1403,327,1
1422,327,1
1587,327,1
1711,327,1
1787,327,1
1923,327,1
2020,327,1
2348,327,-1
1625,328,1
1688,328,1
2020,328,1
2485,328,1
613,329,1
826,329,1
1422,329,1
1787,329,1
1838,329,-1
2348,329,1
1390,330,1
1330,331,1
1424,331,1
1787,331,1
2020,331,1
1330,332,1
1787,332,1
258,333,-1
1194,333,1
1396,333,1
1688,333,1
1194,334,1
1422,334,1
2020,334,1
2133,334,1
105,335,1
273,335,1
273,336,1
1711,336,1
273,337,1
1625,337,1
1688,337,1
1787,337,1
2020,337,1
613,338,1
1330,338,1
1787,338,1
273,339,1
797,339,1
273,340,1
1424,340,1
1787,340,1
1923,340,-1
2059,341,1
105,342,1
288,342,1
613,342,1
707,342,1
1422,342,1
1625,342,1
1688,342,1
1787,342,1
2020,342,1
273,343,1
568,343,1
707,343,1
2020,343,1
613,344,1
1330,344,1
1688,344,1
273,345,1
826,345,1
1077,345,1
1330,345,1
1711,345,1
1996,345,1
273,346,1
1077,346,1
1787,346,1
2020,346,-1
613,347,1
667,347,1
1215,347,1
613,348,1
667,348,1
883,348,1
1096,348,1
1330,348,1
1403,348,1
1787,348,1
436,349,1
474,349,1
1194,349,-1
1330,349,1
1625,349,1
1636,349,1
1787,349,1
1889,349,1
1923,349,-1
2020,349,1
2168,349,1
1077,350,1
1177,350,1
1330,350,1
2020,350,1
2348,350,1
444,351,1
832,351,-1
1455,351,1
1587,351,1
1688,351,1
1793,351,1
613,352,1
826,352,1
1330,352,1
273,353,1
883,353,1
1330,353,1
1422,353,1
2020,353,1
78,354,1
120,354,1
273,354,1
575,354,1
613,354,1
667,354,-1
707,354,-1
826,354,-1
1077,354,1
1131,354,1
1390,354,1
1403,354,1
1422,354,-1
1587,354,1
1711,354,1
1787,354,1
2020,354,-1
2168,354,1
2485,354,1
558,355,1
1194,355,1
1625,355,1
1688,355,1
1787,355,1
258,356,1
273,356,1
613,356,1
1330,356,1
1787,356,1
273,357,1
613,357,1
825,357,1
1194,357,1
2020,357,1
1330,358,1
1787,358,1
1625,359,1
1688,359,1
2020,359,1
2168,359,1
2335,359,1
2020,360,1
1330,361,1
1787,361,1
1787,362,1
613,363,1
667,363,1
707,363,1
1116,363,1
1177,363,1
1194,363,1
1330,363,1
613,364,1
1330,364,1
1787,364,1
1946,364,1
2020,364,1
474,365,1
1403,365,1
1711,365,1
1787,365,1
1838,365,1
2168,365,1
1787,366,1
1194,367,1
1330,367,1
1422,367,-1
1424,367,1
1625,367,1
1688,367,1
1787,367,1
2020,367,1
2168,367,1
1330,368,1
2020,368,1
105,369,1
825,369,1
613,370,1
667,370,1
753,370,1
1096,370,1
1194,370,1
1215,370,1
1330,370,1
1787,370,1
1889,370,1
1946,370,1
2020,370,-1
1330,371,1
1330,372,1
273,373,1
314,373,1
1194,373,1
1330,373,1
1625,373,1
2020,373,1
707,374,-1
1424,374,1
1625,374,1
1688,374,1
1787,374,1
2020,374,1
2303,374,1
1787,375,1
2020,375,1
273,376,1
1688,376,1
273,377,1
613,377,1
667,377,1
1330,377,1
1787,377,1
273,378,1
1330,378,1
1787,378,1
273,379,1
826,379,1
1330,379,1
1403,379,1
1625,379,1
1777,379,1
1787,379,1
2020,379,-1
1330,380,1
1424,380,1
1787,380,1
2020,380,1
613,381,1
1194,381,1
1330,381,1
1330,382,1
436,383,1
489,383,1
559,383,1
613,383,1
826,383,1
1096,383,1
1116,383,1
1330,383,-1
1403,383,1
1711,383,1
1787,383,1
2226,383,1
1194,384,-1
1625,384,1
1688,384,1
1711,384,1
1787,384,1
2020,384,1
2226,384,1
1511,385,1
1787,385,1
2020,385,1
314,386,1
1330,386,1
1625,386,1
1688,386,1
2020,386,1
1625,387,1
1688,387,1
2020,387,1
273,388,1
1029,388,1
273,389,1
273,390,1
1422,390,1
273,391,1
288,391,-1
444,391,-1
613,391,1
707,391,-1
1077,391,1
1194,391,1
1212,391,-1
1422,391,1
1587,391,-1
1625,391,1
1688,391,1
1787,391,1
1793,391,1
1801,391,1
2020,391,1
2303,391,1
2375,391,1
120,392,1
613,392,1
1077,392,1
2016,392,1
467,393,1
