ID,Gene_Name,In_Degree,Out_Degree
584,YDR486C,3,0
585,YDR487C,3,0
586,YDR492W,5,0
587,YDR493W,2,0
588,YDR494W,1,0
589,YDR496C,3,0
590,YDR497C,6,0
591,YDR500C,8,0
592,YDR502C,10,0
593,YDR508C,6,0
594,YDR510W,9,0
595,YDR512C,3,0
596,YDR513W,14,0
597,YDR516C,11,0
598,YDR517W,3,0
599,YDR518W,2,0
600,YDR519W,4,0
601,YDR520C,0,2
602,YDR527W,2,0
603,YDR529C,1,0
604,YDR530C,2,0
605,YDR531W,2,0
606,YDR533C,7,0
607,YDR539W,3,0
608,YEL001C,2,0
609,YEL002C,1,0
610,YEL005C,1,0
611,YEL006W,1,0
612,YEL007W,4,0
613,YEL009C,5,659
614,YEL011W,14,0
615,YEL012W,8,0
616,YEL013W,2,0
617,YEL015W,3,0
618,YEL017W,3,0
619,YEL021W,8,0
620,YEL024W,4,0
621,YEL026W,5,0
622,YEL027W,4,0
623,YEL031W,4,0
624,YEL032W,3,0
625,YEL033W,8,0
626,YEL034W,6,0
627,YEL036C,2,0
628,YEL037C,2,0
629,YEL038W,2,0
630,YEL039C,6,0
631,YEL040W,13,0
632,YEL042W,6,0
633,YEL044W,10,0
634,YEL046C,19,0
635,YEL050C,3,0
636,YEL051W,4,0
637,YEL052W,2,0
638,YEL054C,7,0
639,YEL055C,4,0
640,YEL056W,8,0
641,YEL058W,3,0
642,YEL060C,21,0
643,YEL066W,5,0
644,YEL071W,15,0
645,YEL072W,3,0
646,YER001W,8,0
647,YER002W,1,0
648,YER003C,4,0
649,YER004W,10,0
650,YER006W,3,0
651,YER009W,4,0
652,YER010C,1,0
653,YER012W,1,0
654,YER017C,2,0
655,YER020W,4,0
656,YER021W,3,0
657,YER023W,2,0
658,YER024W,5,0
659,YER025W,15,0
660,YER026C,6,0
661,YER027C,2,0
662,YER029C,1,0
663,YER031C,3,0
664,YER035W,10,0
665,YER036C,6,0
666,YER037W,11,0
667,YER040W,0,96
668,YER043C,12,0
669,YER044C,13,0
670,YER046W,5,0
671,YER048C,1,0
672,YER049W,2,0
673,YER052C,4,0
674,YER053C,21,0
675,YER055C,11,0
676,YER056C,10,0
677,YER057C,4,0
678,YER062C,15,0
679,YER063W,5,0
680,YER065C,5,0
681,YER067W,12,0
682,YER068W,3,0
683,YER069W,4,0
684,YER070W,4,0
685,YER072W,10,0
686,YER073W,7,0
687,YER074W,6,0
688,YER078C,1,0
689,YER079W,8,0
690,YER080W,1,0
691,YER081W,5,0
692,YER083C,1,0
693,YER086W,2,0
694,YER088C,7,0
695,YER089C,4,0
696,YER090W,2,0
697,YER091C,14,0
698,YER092W,5,0
699,YER094C,5,0
700,YER095W,12,0
701,YER099C,1,0
702,YER100W,5,0
703,YER102W,4,0
704,YER103W,9,0
705,YER107C,1,0
706,YER110C,4,0
707,YER111C,0,262
708,YER115C,1,0
709,YER116C,3,0
710,YER117W,6,0
711,YER118C,3,0
712,YER119C,5,0
713,YER120W,4,0
714,YER122C,2,0
715,YER123W,2,0
716,YER124C,9,0
717,YER125W,2,0
718,YER126C,2,0
719,YER130C,6,0
720,YER131W,9,0
721,YER133W,3,0
722,YER134C,3,0
723,YER136W,2,0
724,YER141W,10,0
725,YER142C,2,0
726,YER143W,2,0
727,YER144C,1,0
728,YER145C,14,0
729,YER146W,9,0
730,YER148W,5,0
731,YER150W,9,0
732,YER152C,3,0
733,YER154W,10,0
734,YER155C,3,0
735,YER156C,6,0
736,YER159C,8,0
737,YER161C,4,0
738,YER163C,4,0
739,YER165W,5,0
740,YER169W,0,4
741,YER175C,6,0
742,YER176W,1,0
743,YER177W,5,0
744,YER178W,7,0
745,YER183C,7,0
746,YFL004W,4,0
747,YFL005W,6,0
748,YFL010C,1,0
749,YFL014W,14,0
750,YFL016C,7,0
751,YFL017C,1,0
752,YFL018C,4,0
753,YFL021W,15,38
754,YFL022C,12,0
755,YFL028C,2,0
756,YFL031W,0,7
757,YFL037W,2,0
758,YFL038C,4,0
759,YFL039C,11,0
760,YFL041W,2,0
761,YFL045C,5,0
762,YFL048C,4,0
763,YFR004W,3,0
764,YFR006W,5,0
765,YFR009W,2,0
766,YFR010W,1,0
767,YFR011C,1,0
768,YFR014C,2,0
769,YFR015C,3,0
770,YFR016C,2,0
771,YFR017C,4,0
772,YFR025C,5,0
773,YFR030W,8,0
774,YFR033C,9,0
775,YFR034C,0,44
776,YFR037C,2,0
777,YFR041C,4,0
778,YFR042W,2,0
779,YFR044C,3,0
780,YFR047C,3,0
781,YFR049W,2,0
782,YFR050C,2,0
783,YFR051C,2,0
784,YFR052W,1,0
785,YFR053C,16,0
786,YFR055W,2,0
787,YGL001C,6,0
788,YGL002W,3,0
789,YGL004C,3,0
790,YGL005C,3,0
791,YGL006W,3,0
792,YGL008C,16,0
793,YGL009C,6,0
794,YGL010W,2,0
795,YGL011C,1,0
796,YGL012W,6,0
797,YGL013C,1,84
798,YGL019W,1,0
799,YGL020C,1,0
800,YGL021W,5,0
801,YGL022W,2,0
802,YGL026C,3,0
803,YGL027C,2,0
804,YGL028C,11,0
805,YGL029W,1,0
